fid,shapeName,shapeiso,shapeid,shapegroup,shapetype,total_building_area,total_flooded_building_area,total_flooded_building_area_perc,non_affected_building_area,flooded_building_count,non_affected_building_count,total_num_buildings,percentage_flooded,flooded_grid_length,non_affected_grid_length,total_grid_length,percentage_grid_flooded,_merge,relative_wealth_index,_merge2,flooded_road_length,total_roads_length,non_affected_road_length,percentage_flooded_roads,_merge3,gdp_ppp,_merge4,flooded_cropland,cropland_not-affected,flooded_cropland_perc,flooded_builtup,flooded_builtup_perc,cropland,builtup,_merge5,flooded_total_dependency_2024,flooded_elderly_dependency_2024,flooded_child_dependency_2024,flooded_rate_below_5_2024,flooded_rate_below_5_2024_reverse,flooded_rate_above_65_2024,flooded_rate_above_65_2024_reverse,flooded_female_pop_2024,flooded_female_pop_2024_perc,flooded_male_pop_2024,flooded_male_pop_2024_perc,flooded_pop_2024,non_affected_pop_2024,flooded_pop_2024_perc,flooded_child_pop_2024,flooded_active_pop_2024,flooded_elderly_pop_2024,female_pop_2024,male_pop_2024,pop_2024,_merge6,_merge7
72,Sarail,,5055444B36413802235947,BGD,ADM3,4126151.8,40522.426,0.98,4085629.374,1267,86467,87734,1.444,15880,31080,46960,33.799999,Matched (3),0.025299293,Matched (3),12420,119780,107360,10.37,Matched (3),720843776,Matched (3),299842,89183.44,77.08,3565.4973,3.65,389025.44,97647.164,Matched (3),65.128571,9.0274067,56.101162,11.82,88.18,5.47,94.53,31520.125,19.07,29050.068,19.07,60570.191,257109.529,19.07,20578.258,36680.625,3311.3093,165317.34,152362.36,317679.72,Matched (3),Matched (3)
48,Nasirnagar,,5055444B53942313768557,BGD,ADM3,4185611.5,57412.418,1.37,4128199.082,2014,89591,91605,2.1989999,27940,44600,72540,38.5,Matched (3),-0.202883446,Matched (3),30480,189120,158640,16.120001,Matched (3),662484800,Matched (3),412587.41,181950.78,69.40,3844.1667,3.51,594538.19,109392.88,Matched (3),64.774437,9.033185,55.741257,11.76,88.24,5.48,94.52,29843.178,19.06,27642.486,19.08,57485.664,243955.246,19.07,19411.957,34915.793,3157.9133,156599.25,144841.66,301440.91,Matched (3),Matched (3)
45,Comilla Sadar Dakshin,,5055444B83041215814881,BGD,ADM3,11836433,25596.313,0.22,11810836.687,462,197295,197757,0.234,9660,64080,73740,13.1,Matched (3),0.254686329,Matched (3),35580,971420,935840,3.6600001,Matched (3),865233088,Matched (3),122439.08,205098.86,37.38,1138.5486,0.50,327537.94,229406.5,Matched (3),57.018963,9.1394758,47.879486,9.78,90.22,5.82,94.18,28435.619,11.63,25867.271,11.63,54302.891,412818.579,11.63,16558.475,34583.652,3160.7644,244607.39,222514.08,467121.47,Matched (3),Matched (3)
26,Baniachong,,5055444B40412060728075,BGD,ADM3,3941018.3,109814.56,2.79,3831203.74,2087,71852,73939,2.823,22100,45320,67420,32.799999,Matched (3),-0.292641926,Matched (3),164720,471160,306440,34.959999,Matched (3),694006528,Matched (3),578157.81,455049.69,55.96,5662.3994,5.71,1033207.5,99239.75,Matched (3),60.25359,8.4906235,51.762966,11.44,88.56,5.30,94.70,24577.191,15.26,23663.766,15.27,48240.957,267729.673,15.27,15570.815,30112.813,2557.3303,161020.77,154949.86,315970.63,Matched (3),Matched (3)
25,Burichang,,5055444B51169249412494,BGD,ADM3,6422658.5,14175.749,0.22,6408482.751,343,105507,105850,0.324,8200,45480,53680,15.3,Matched (3),0.09576183,Matched (3),9240,253900,244660,3.6400001,Matched (3),505627488,Matched (3),91659.539,122580.73,42.78,1220.7805,0.73,214240.27,167207.56,Matched (3),57.018963,9.1394758,47.879486,9.78,90.22,5.82,94.18,19157.496,12.84,17427.162,12.84,36584.656,248328.224,12.84,11155.688,23299.516,2129.4536,149194.16,135718.72,284912.88,Matched (3),Matched (3)
43,Ajmiriganj,,5055444B99945132628682,BGD,ADM3,1033950.8,35043.699,3.39,998907.101,810,21602,22412,3.6140001,11660,19780,31440,37.099998,Matched (3),-0.309839467,Matched (3),75500,170320,94820,44.330002,Matched (3),283818272,Matched (3),231547.52,139111.61,62.47,2379.9473,7.18,370659.13,33168.961,Matched (3),60.210808,8.5108242,51.699986,11.42,88.58,5.31,94.69,18555.664,33.49,17884.473,33.46,36440.137,72421.573,33.47,11769.37,22729.857,1940.9111,55414.234,53447.477,108861.71,Matched (3),Matched (3)
23,Brahman Para,,5055444B87015491124884,BGD,ADM3,3624753,16733.887,0.46,3608019.113,432,66566,66998,0.64499998,11420,18900,30320,37.700001,Matched (3),0.117001814,Matched (3),3580,98200,94620,3.6500001,Matched (3),410519968,Matched (3),119552.02,93305.29,56.17,786.75995,0.85,212857.31,92068.992,Matched (3),57.086609,9.1385412,47.948067,9.80,90.20,5.82,94.18,18930.162,22.08,17221.994,22.08,36152.156,127612.404,22.08,11032.938,23015.867,2103.3516,85749.797,78014.773,163764.56,Matched (3),Matched (3)
55,Debidwar,,5055444B86934116157766,BGD,ADM3,7586241.5,14929.475,0.20,7571312.025,496,155066,155562,0.31900001,5300,52140,57440,9.1999998,Matched (3),0.189756285,Matched (3),9360,679660,670300,1.38,Matched (3),853685312,Matched (3),75407.719,237216.25,24.12,1612.5356,0.73,312623.97,221203.23,Matched (3),57.018963,9.1394758,47.879486,9.78,90.22,5.82,94.18,18713.162,9.15,17022.961,9.15,35736.125,354783.815,9.15,10896.947,22759.113,2080.0637,204495.13,186024.81,390519.94,Matched (3),Matched (3)
52,Nabinagar,,5055444B46982243115028,BGD,ADM3,8028539.5,27808.635,0.35,8000730.865,749,181296,182045,0.41100001,9560,96780,106340,9,Matched (3),0.093116628,Matched (3),18160,467620,449460,3.8800001,Matched (3),1353698304,Matched (3),159871.88,411202.81,27.99,2316.2046,0.99,571074.69,234276.02,Matched (3),65.078072,9.0214472,56.056625,11.82,88.18,5.46,94.54,16302.334,6.63,15030.42,6.63,31332.754,441138.336,6.63,10636.791,18984.002,1711.9625,245853.86,226617.22,472471.09,Matched (3),Matched (3)
8,Rajnagar,,5055444B11792824344189,BGD,ADM3,4538648,29911.395,0.66,4508736.605,506,56617,57123,0.88599998,24700,59360,84060,29.4,Matched (3),0.05528034,Matched (3),30240,335660,305420,9.0100002,Matched (3),298514080,Matched (3),266412.31,217247.16,55.08,594.03979,0.56,483659.47,106675.5,Matched (3),52.60622,7.695488,44.910728,9.62,90.38,5.04,94.96,15722.392,13.74,15266.3,13.74,30988.691,194535.109,13.74,9128.957,20300.387,1559.3486,114432.07,111091.73,225523.8,Matched (3),Matched (3)
49,Brahmanbaria Sadar,,5055444B14183911871917,BGD,ADM3,9068236,17557.242,0.19,9050678.758,523,156714,157237,0.333,18520,74900,93420,19.799999,Matched (3),0.135734782,Matched (3),18540,369240,350700,5.02,Matched (3),977847872,Matched (3),170483.3,168994.08,50.22,1780.5942,1.06,339477.38,167314.53,Matched (3),65.128571,9.0274067,56.101162,11.82,88.18,5.47,94.53,15949.623,6.45,14699.74,6.45,30649.363,444832.357,6.45,10412.886,18560.908,1675.5687,247435.94,228045.78,475481.72,Matched (3),Matched (3)
16,Manoharganj,,5055444B22432577988520,BGD,ADM3,4030222,8051.3765,0.20,4022170.6235,246,72980,73226,0.336,2680,15480,18160,14.8,Matched (3),0.150168616,Matched (3),3000,334160,331160,0.89999998,Matched (3),188383904,Matched (3),93710.273,169540.76,35.60,235.22182,0.39,263251.03,59721.32,Matched (3),57.015045,9.1414995,47.873547,9.78,90.22,5.82,94.18,16014.096,13.81,14565.695,13.81,30579.791,190914.089,13.81,9320.9316,19477.131,1781.7285,116000.73,105493.15,221493.88,Matched (3),Matched (3)
73,Bijoynagar,,5055444B37995463425931,BGD,ADM3,4356176.5,24611.779,0.56,4331564.721,723,83244,83967,0.861,18020,36800,54820,32.900002,Matched (3),0.030686339,Matched (3),4840,111820,106980,4.3299999,Matched (3),461260896,Matched (3),219732.75,148853.28,59.62,3492.3674,2.60,368586.03,134453.98,Matched (3),65.128571,9.0274067,56.101162,11.82,88.18,5.47,94.53,15571.275,13.33,14351.042,13.33,29922.316,194607.354,13.33,10165.877,18120.617,1635.8219,116832.81,107696.87,224529.67,Matched (3),Matched (3)
37,Maheshkhali,,5055444B67374732574136,BGD,ADM3,6127491,540626.69,8.82,5586864.31,5931,65035,70966,8.3579998,3280,27980,31260,10.5,Matched (3),0.143932202,Matched (3),18700,187500,168800,9.9700003,Matched (3),1173314048,Matched (3),48413.938,82265.44,37.05,759,0.63,130679.38,120374.82,Matched (3),61.794834,5.7176666,56.077168,11.56,88.44,3.53,96.47,14490.636,8.96,15227.72,8.96,29718.355,301792.645,8.96,10300.213,18367.926,1050.2168,161644.39,169866.63,331511,Matched (3),Matched (3)
22,Kasba,,5055444B61264629124243,BGD,ADM3,6015866,12485.187,0.21,6003380.813,409,115641,116050,0.352,11080,50780,61860,17.9,Matched (3),0.241717623,Matched (3),6620,190520,183900,3.47,Matched (3),860947072,Matched (3),121128.81,225482.69,34.95,520.45032,0.35,346611.5,150493.59,Matched (3),65.070183,9.0282135,56.041973,11.81,88.19,5.47,94.53,14930.872,10.15,13759.304,10.15,28690.176,253880.264,10.15,9738.8154,17382.039,1569.3207,147060.38,135510.05,282570.44,Matched (3),Matched (3)
